2026-09-09 22:40:22 [DEBUG   ] in-event <InotifyEvent: src_path=b'./watcher_linux.log', wd=1, mask=IN_MODIFY, cookie=0, name='watcher_linux.log'>
2026-09-09 22:40:22 [DEBUG   ] in-event <InotifyEvent: src_path=b'/home/zeus/claudeCode/GitHub-AutoPush-Analytics/watcher_linux.log', wd=1, mask=IN_MODIFY, cookie=0, name='watcher_linux.log'>
2026-09-09 22:40:22 [DEBUG   ] in-event <InotifyEvent: src_path=b'./watcher_linux.log', wd=1, mask=IN_MODIFY, cookie=0, name='watcher_linux.log'>
2026-09-09 22:40:22 [DEBUG   ] in-event <InotifyEvent: src_path=b'/home/zeus/claudeCode/GitHub-AutoPush-Analytics/watcher_linux.log', wd=1, mask=IN_CLOSE_WRITE, cookie=0, name='watcher_linux.log'>
2026-09-09 22:40:22 [DEBUG   ] in-event <InotifyEvent: src_path=b'./watcher_linux.log', wd=1, mask=IN_CLOSE_WRITE, cookie=0, name='watcher_linux.log'>
2026-09-09 22:40:22 [DEBUG   ] in-event <InotifyEvent: src_path=b'/home/zeus/claudeCode/GitHub-AutoPush-Analytics/watcher_linux.log.3', wd=1, mask=IN_DELETE, cookie=0, name='watcher_linux.log.3'>
2026-09-09 22:40:22 [DEBUG   ] in-event <InotifyEvent: src_path=b'./watcher_linux.log.3', wd=1, mask=IN_DELETE, cookie=0, name='watcher_linux.log.3'>
2026-09-09 22:40:22 [DEBUG   ] in-event <InotifyEvent: src_path=b'/home/zeus/claudeCode/GitHub-AutoPush-Analytics/watcher_linux.log.2', wd=1, mask=IN_MOVED_FROM, cookie=28234, name='watcher_linux.log.2'>
2026-09-09 22:40:22 [DEBUG   ] in-event <InotifyEvent: src_path=b'./watcher_linux.log.2', wd=1, mask=IN_MOVED_FROM, cookie=28234, name='watcher_linux.log.2'>
2026-09-09 22:40:22 [DEBUG   ] in-event <InotifyEvent: src_path=b'/home/zeus/claudeCode/GitHub-AutoPush-Analytics/watcher_linux.log.3', wd=1, mask=IN_MOVED_TO, cookie=28234, name='watcher_linux.log.3'>
2026-09-09 22:40:22 [DEBUG   ] in-event <InotifyEvent: src_path=b'./watcher_linux.log.3', wd=1, mask=IN_MOVED_TO, cookie=28234, name='watcher_linux.log.3'>
2026-09-09 22:40:22 [DEBUG   ] in-event <InotifyEvent: src_path=b'/home/zeus/claudeCode/GitHub-AutoPush-Analytics/watcher_linux.log.1', wd=1, mask=IN_MOVED_FROM, cookie=28235, name='watcher_linux.log.1'>
2026-09-09 22:40:22 [DEBUG   ] in-event <InotifyEvent: src_path=b'./watcher_linux.log.1', wd=1, mask=IN_MOVED_FROM, cookie=28235, name='watcher_linux.log.1'>
2026-09-09 22:40:22 [DEBUG   ] in-event <InotifyEvent: src_path=b'/home/zeus/claudeCode/GitHub-AutoPush-Analytics/watcher_linux.log.2', wd=1, mask=IN_MOVED_TO, cookie=28235, name='watcher_linux.log.2'>
2026-09-09 22:40:22 [DEBUG   ] in-event <InotifyEvent: src_path=b'./watcher_linux.log.2', wd=1, mask=IN_MOVED_TO, cookie=28235, name='watcher_linux.log.2'>
2026-09-09 22:40:22 [DEBUG   ] in-event <InotifyEvent: src_path=b'/home/zeus/claudeCode/GitHub-AutoPush-Analytics/watcher_linux.log', wd=1, mask=IN_MOVED_FROM, cookie=28236, name='watcher_linux.log'>
2026-09-09 22:40:22 [DEBUG   ] in-event <InotifyEvent: src_path=b'./watcher_linux.log', wd=1, mask=IN_MOVED_FROM, cookie=28236, name='watcher_linux.log'>
2026-09-09 22:40:22 [DEBUG   ] in-event <InotifyEvent: src_path=b'/home/zeus/claudeCode/GitHub-AutoPush-Analytics/watcher_linux.log.1', wd=1, mask=IN_MOVED_TO, cookie=28236, name='watcher_linux.log.1'>
2026-09-09 22:40:22 [DEBUG   ] in-event <InotifyEvent: src_path=b'./watcher_linux.log.1', wd=1, mask=IN_MOVED_TO, cookie=28236, name='watcher_linux.log.1'>
